team,name,role,position,primary_position,eligible_positions,rating_source,sample_note
KIA 타이거즈,주효상,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,한준수,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,정현창,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,김규성,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,윤도현,batter,내야수,3B,SS;3B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 출전 기반 보정
KIA 타이거즈,변우혁,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,김선빈,batter,내야수,2B,2B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025/커리어 출루형 내야수 보정
KIA 타이거즈,박상준,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,박정우,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,박재현,batter,외야수,RF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,카스트로,batter,외야수,2B,2B;SS;3B;LF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,김민규,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,박치국,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,타카다,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,김정우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,최승용,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,이병헌,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,잭로그,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,이용찬,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,벤자민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,박신지,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,이영하,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,김택연,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 불펜 2025 성적 기반 보정
두산 베어스,김한중,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,김기연,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,양의지,batter,포수,C,C;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 타율 .337·PA 517·OPS .939 기반 보정
두산 베어스,윤준호,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,이유찬,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,강승호,batter,내야수,2B,1B;2B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,세베리노,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,박지훈,batter,내야수,3B,SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,박준순,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,안재석,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,손아섭,batter,외야수,RF,RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,정수빈,batter,외야수,CF,CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,김대한,batter,외야수,RF,CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,홍성호,batter,외야수,LF,1B;LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
두산 베어스,조수행,batter,외야수,CF,LF;CF;RF;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 도루 30 기반 보정
한화 이글스,이상규,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,화이트,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,이민우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,장유호,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,이교훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,김종수,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,박재규,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,강재민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,조동욱,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,박상원,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 불펜 2025 성적 기반 보정
한화 이글스,박준영(68),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,박준영(96),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,최재훈,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,장규현,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,허인서,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,정은원,batter,내야수,2B,2B;LF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,이도윤,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,박정현,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,심우준,batter,내야수,SS,SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,노시환,batter,내야수,3B,3B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 HR 32·RBI 101 기반 보정
한화 이글스,황영묵,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,김태연,batter,외야수,1B,1B;LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,한지윤,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,이원석,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,최인호,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
한화 이글스,오재원,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,토다,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김준원,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,임지민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,라일리,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 다승·탈삼진권 선발 성적 기반 보정
NC 다이노스,신영우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,손주환,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김진호,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,전사민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김태경,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,원종해,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,최요한,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김태훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,안중열,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김형준,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김한별,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,최정원,batter,내야수,2B,2B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 도루 30 기반 보정
NC 다이노스,도태훈,batter,내야수,1B,1B;2B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,한재환,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,김휘집,batter,내야수,3B,SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,블레인,batter,내야수,1B,1B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,천재환,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,권희동,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,고준휘,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
NC 다이노스,박시원,batter,외야수,LF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,현도훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김강현,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김원중,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 SV 32 기반 마무리 보정
롯데 자이언츠,이민석,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,이이무라,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김기준,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,최준용,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,정철원,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,손성빈,batter,포수,C,C;DH,2025_previous_season_fallback,2026 규정타석 미달: 포수 포지션 2025 출전 기반 보정
롯데 자이언츠,박건우,batter,포수,C,C;DH,league_average_or_missing_2025,"동명이인 보호: NC 박건우 성적과 분리, 2025 세부 기록 미입력으로 평균 보정"
롯데 자이언츠,전민재,batter,내야수,SS,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,고승민,batter,내야수,2B,1B;2B;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,한동희,batter,내야수,3B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
롯데 자이언츠,김세민,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
